house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100001,0.6904244787948867,5.0,4.0,7.6,1.0,0.38119704135392785,0.7003021929118456,1.0,0.0,1.0,1.3276252605415588
100002,0.10131656456229857,3.0,3.0,6.3,1.0,0.5267185109807438,0.2688126726063123,1.0,0.0,0.07142857142857142,0.5660034931018442
100003,0.810017324175625,4.0,3.0,5.8,1.0,0.6980785372975628,0.06006502077214925,0.0,0.0,0.1,0.7345622437931013
100004,1.3578216500009241,5.0,3.0,5.61063829787234,1.0,0.20418786180412796,0.06006502077214925,1.0,1.0,0.2,1.4530551046416922
100005,-0.0020699257668232896,3.0,3.0,3.8,1.0,0.7827140574178003,-0.30067034512133706,0.0,0.0,0.0625,-0.22652036183796276
100006,-0.0020699257668232896,3.0,3.0,7.4,1.0,0.43584999578200423,-0.7102926413370674,0.0,0.0,0.1,0.5401430597444868
100007,1.3578216500009241,6.0,6.0,5.61063829787234,1.0,0.4804441777550007,0.8622921041357506,1.0,0.0,0.058823529411764705,1.4530551046416922
100008,0.9007778953589249,2.0,1.0,5.9,1.0,0.5811305833227126,-0.5506119948246249,1.0,0.0,0.1,0.7962008912121594
100009,0.26758952658692153,4.0,1.0,4.7,1.0,0.4049932245208614,0.3045514776042844,0.0,0.0,0.043478260869565216,-0.40576122118324726
100010,0.7277259467080395,4.0,3.0,1.0,1.0,0.613873622590973,0.7889769262938611,1.0,0.0,0.05555555555555555,-0.9458972880540212
100011,-0.2714901930699042,3.0,2.0,5.5,1.0,0.41667709570303957,-0.7859103007240928,0.0,0.0,0.043478260869565216,-0.21301942278291414
100012,-0.27533011625718845,3.0,3.0,6.7,1.0,0.37313219634198,-0.4902764257381469,1.0,0.0,0.25,0.38592131401715446
100013,0.47188060822940414,5.0,3.0,5.5,1.0,0.3609045588728599,-0.2006754620559249,1.0,0.0,0.1111111111111111,0.5404761339552134
100014,-2.430618132925932,1.0,1.0,5.61063829787234,1.0,0.6362669926546606,-1.8433039079986142,0.0,0.0,0.047619047619047616,-2.2425698103098464
100015,0.26758952658692153,1.0,1.0,2.7,1.0,0.9999999999999999,-1.209325883345601,1.0,0.0,0.1,-2.2425698103098464
100016,-0.39764482499643145,3.0,3.0,1.3,1.0,0.9999999999999999,0.10776942940595542,1.0,0.0,0.1,0.20707122267504996
